"Statistic Label","Year","Type of Ownership","Region","UNIT","VALUE"
"Total Sales to Ornua","2012","Irish ownership","South West","Euro Million","322"
"Total Sales to Ornua","2012","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2012","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2012","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2012","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2012","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2012","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2012","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2012","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2012","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2012","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2012","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2012","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2013","All Enterprise ownership","Ireland","Euro Million","853"
"Total Sales to Ornua","2013","All Enterprise ownership","Border","Euro Million",""
"Total Sales to Ornua","2013","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2013","All Enterprise ownership","Mid West","Euro Million","129"
"Total Sales to Ornua","2013","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2013","All Enterprise ownership","South West","Euro Million","371"
"Total Sales to Ornua","2013","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2013","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2013","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2013","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2013","Irish ownership","Border","Euro Million",""
"Total Sales to Ornua","2013","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2013","Irish ownership","Mid West","Euro Million","129"
"Total Sales to Ornua","2013","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2013","Irish ownership","South West","Euro Million","371"
"Total Sales to Ornua","2013","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2013","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2013","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2013","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2013","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2013","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2013","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2013","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2013","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2013","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2013","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2013","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2014","All Enterprise ownership","Ireland","Euro Million","875"
"Total Sales to Ornua","2014","All Enterprise ownership","Border","Euro Million",""
"Total Sales to Ornua","2014","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2014","All Enterprise ownership","Mid West","Euro Million","137"
"Total Sales to Ornua","2014","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2014","All Enterprise ownership","South West","Euro Million","377"
"Total Sales to Ornua","2014","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2014","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2014","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2014","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2014","Irish ownership","Border","Euro Million",""
"Total Sales to Ornua","2014","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2014","Irish ownership","Mid West","Euro Million","137"
"Total Sales to Ornua","2014","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2014","Irish ownership","South West","Euro Million","377"
"Total Sales to Ornua","2014","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2014","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2014","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2014","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2014","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2014","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2014","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2014","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2014","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2014","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2014","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2014","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2015","All Enterprise ownership","Ireland","Euro Million","835"
"Total Sales to Ornua","2015","All Enterprise ownership","Border","Euro Million",""
"Total Sales to Ornua","2015","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2015","All Enterprise ownership","Mid West","Euro Million","130"
"Total Sales to Ornua","2015","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2015","All Enterprise ownership","South West","Euro Million","353"
"Total Sales to Ornua","2015","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2015","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2015","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2015","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2015","Irish ownership","Border","Euro Million",""
"Total Sales to Ornua","2015","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2015","Irish ownership","Mid West","Euro Million","130"
"Total Sales to Ornua","2015","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2015","Irish ownership","South West","Euro Million","353"
"Total Sales to Ornua","2015","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2015","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2015","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2015","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2015","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2015","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2015","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2015","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2015","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2015","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2015","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2015","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2016","All Enterprise ownership","Ireland","Euro Million","798"
"Total Sales to Ornua","2016","All Enterprise ownership","Border","Euro Million",""
"Total Sales to Ornua","2016","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2016","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2016","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2016","All Enterprise ownership","South West","Euro Million","332"
"Total Sales to Ornua","2016","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2016","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2016","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2016","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2016","Irish ownership","Border","Euro Million",""
"Total Sales to Ornua","2016","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2016","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2016","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2016","Irish ownership","South West","Euro Million","332"
"Total Sales to Ornua","2016","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2016","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2016","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2016","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2016","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2016","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2016","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2016","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2016","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2016","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2016","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2016","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2017","All Enterprise ownership","Ireland","Euro Million","1141"
"Total Sales to Ornua","2017","All Enterprise ownership","Border","Euro Million",""
"Total Sales to Ornua","2017","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2017","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2017","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2017","All Enterprise ownership","South West","Euro Million","514"
"Total Sales to Ornua","2017","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2017","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2017","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2017","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2017","Irish ownership","Border","Euro Million",""
"Total Sales to Ornua","2017","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2017","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2017","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2017","Irish ownership","South West","Euro Million","514"
"Total Sales to Ornua","2017","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2017","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2017","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2017","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2017","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2017","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2017","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2017","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2017","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2017","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2017","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2017","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2018","All Enterprise ownership","Ireland","Euro Million","1149"
"Total Sales to Ornua","2018","All Enterprise ownership","Border","Euro Million",""
"Total Sales to Ornua","2018","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2018","All Enterprise ownership","Mid West","Euro Million","176"
"Total Sales to Ornua","2018","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2018","All Enterprise ownership","South West","Euro Million","502"
"Total Sales to Ornua","2018","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2018","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2018","All Enterprise ownership","Midlands","Euro Million","0"
